scenario,t,rho_vac,j_emerge,rho_matter,total_transfer_density
closed_transfer_unit_reservoir,0.0,1.0,1.0,0.0,1.0
closed_transfer_unit_reservoir,0.004,0.9960079893439915,0.9960079893439915,0.003992010656008516,1.0
closed_transfer_unit_reservoir,0.008,0.9920319148370607,0.9920319148370607,0.007968085162939342,1.0
closed_transfer_unit_reservoir,0.012,0.9880717128619305,0.9880717128619305,0.011928287138069482,1.0
closed_transfer_unit_reservoir,0.016,0.9841273200552851,0.9841273200552851,0.015872679944714863,1.0
closed_transfer_unit_reservoir,0.02,0.9801986733067553,0.9801986733067553,0.019801326693244747,1.0
closed_transfer_unit_reservoir,0.024,0.9762857097579093,0.9762857097579093,0.023714290242090708,1.0
closed_transfer_unit_reservoir,0.028,0.9723883668012469,0.9723883668012469,0.02761163319875315,1.0
closed_transfer_unit_reservoir,0.032,0.9685065820791976,0.9685065820791976,0.0314934179208024,1.0
closed_transfer_unit_reservoir,0.036,0.9646402934831231,0.9646402934831231,0.03535970651687692,1.0
closed_transfer_unit_reservoir,0.04,0.9607894391523232,0.9607894391523232,0.03921056084767682,1.0
closed_transfer_unit_reservoir,0.044,0.9569539574730467,0.9569539574730467,0.04304604252695332,1.0
closed_transfer_unit_reservoir,0.048,0.9531337870775047,0.9531337870775047,0.046866212922495265,1.0
closed_transfer_unit_reservoir,0.052,0.9493288668428895,0.9493288668428895,0.05067113315711047,1.0
closed_transfer_unit_reservoir,0.056,0.9455391358903963,0.9455391358903963,0.05446086410960371,1.0
closed_transfer_unit_reservoir,0.06,0.9417645335842487,0.9417645335842487,0.05823546641575128,1.0
closed_transfer_unit_reservoir,0.064,0.9380049995307295,0.9380049995307295,0.061995000469270534,1.0
closed_transfer_unit_reservoir,0.068,0.9342604735772135,0.9342604735772135,0.06573952642278647,1.0
closed_transfer_unit_reservoir,0.072,0.9305308958112057,0.9305308958112057,0.06946910418879426,1.0
closed_transfer_unit_reservoir,0.076,0.9268162065593822,0.9268162065593822,0.07318379344061776,1.0
closed_transfer_unit_reservoir,0.08,0.9231163463866358,0.9231163463866358,0.07688365361336424,1.0
closed_transfer_unit_reservoir,0.084,0.9194312560951247,0.9194312560951247,0.08056874390487534,1.0
closed_transfer_unit_reservoir,0.088,0.9157608767233256,0.9157608767233256,0.08423912327667438,1.0
closed_transfer_unit_reservoir,0.092,0.9121051495450904,0.9121051495450904,0.08789485045490963,1.0
closed_transfer_unit_reservoir,0.096,0.9084640160687062,0.9084640160687062,0.09153598393129381,1.0
closed_transfer_unit_reservoir,0.1,0.9048374180359595,0.9048374180359595,0.09516258196404048,1.0
closed_transfer_unit_reservoir,0.104,0.9012252974212048,0.9012252974212048,0.09877470257879517,1.0
