scenario,coupling,detuning,capture_margin,capture_admissible,phase_witness,witness_abs,phase_velocity_residual,basin_width
unit_coupling_capture_window,1.0,-1.25,-0.25,0,-1.25,1.25,0.0,2.0
unit_coupling_capture_window,1.0,-1.245,-0.2450000000000001,0,-1.245,1.245,0.0,2.0
unit_coupling_capture_window,1.0,-1.24,-0.24,0,-1.24,1.24,0.0,2.0
unit_coupling_capture_window,1.0,-1.235,-0.2350000000000001,0,-1.235,1.235,0.0,2.0
unit_coupling_capture_window,1.0,-1.23,-0.22999999999999998,0,-1.23,1.23,0.0,2.0
unit_coupling_capture_window,1.0,-1.225,-0.2250000000000001,0,-1.225,1.225,0.0,2.0
unit_coupling_capture_window,1.0,-1.22,-0.21999999999999997,0,-1.22,1.22,0.0,2.0
unit_coupling_capture_window,1.0,-1.215,-0.21500000000000008,0,-1.215,1.215,0.0,2.0
unit_coupling_capture_window,1.0,-1.21,-0.20999999999999996,0,-1.21,1.21,0.0,2.0
unit_coupling_capture_window,1.0,-1.205,-0.20500000000000007,0,-1.205,1.205,0.0,2.0
unit_coupling_capture_window,1.0,-1.2,-0.19999999999999996,0,-1.2,1.2,0.0,2.0
unit_coupling_capture_window,1.0,-1.195,-0.19500000000000006,0,-1.195,1.195,0.0,2.0
unit_coupling_capture_window,1.0,-1.19,-0.18999999999999995,0,-1.19,1.19,0.0,2.0
unit_coupling_capture_window,1.0,-1.185,-0.18500000000000005,0,-1.185,1.185,0.0,2.0
unit_coupling_capture_window,1.0,-1.18,-0.17999999999999994,0,-1.18,1.18,0.0,2.0
unit_coupling_capture_window,1.0,-1.175,-0.17500000000000004,0,-1.175,1.175,0.0,2.0
unit_coupling_capture_window,1.0,-1.17,-0.16999999999999993,0,-1.17,1.17,0.0,2.0
unit_coupling_capture_window,1.0,-1.165,-0.16500000000000004,0,-1.165,1.165,0.0,2.0
unit_coupling_capture_window,1.0,-1.16,-0.15999999999999992,0,-1.16,1.16,0.0,2.0
unit_coupling_capture_window,1.0,-1.155,-0.15500000000000003,0,-1.155,1.155,0.0,2.0
unit_coupling_capture_window,1.0,-1.15,-0.1499999999999999,0,-1.15,1.15,0.0,2.0
unit_coupling_capture_window,1.0,-1.145,-0.14500000000000002,0,-1.145,1.145,0.0,2.0
unit_coupling_capture_window,1.0,-1.14,-0.1399999999999999,0,-1.14,1.14,0.0,2.0
unit_coupling_capture_window,1.0,-1.135,-0.135,0,-1.135,1.135,0.0,2.0
unit_coupling_capture_window,1.0,-1.13,-0.1299999999999999,0,-1.13,1.13,0.0,2.0
unit_coupling_capture_window,1.0,-1.125,-0.125,0,-1.125,1.125,0.0,2.0
unit_coupling_capture_window,1.0,-1.12,-0.1200000000000001,0,-1.12,1.12,0.0,2.0
unit_coupling_capture_window,1.0,-1.115,-0.11499999999999999,0,-1.115,1.115,0.0,2.0
unit_coupling_capture_window,1.0,-1.1099999999999999,-0.10999999999999988,0,-1.1099999999999999,1.1099999999999999,0.0,2.0
unit_coupling_capture_window,1.0,-1.105,-0.10499999999999998,0,-1.105,1.105,0.0,2.0
unit_coupling_capture_window,1.0,-1.1,-0.10000000000000009,0,-1.1,1.1,0.0,2.0
unit_coupling_capture_window,1.0,-1.095,-0.09499999999999997,0,-1.095,1.095,0.0,2.0
unit_coupling_capture_window,1.0,-1.09,-0.09000000000000008,0,-1.09,1.09,0.0,2.0
unit_coupling_capture_window,1.0,-1.085,-0.08499999999999996,0,-1.085,1.085,0.0,2.0
unit_coupling_capture_window,1.0,-1.08,-0.08000000000000007,0,-1.08,1.08,0.0,2.0
unit_coupling_capture_window,1.0,-1.075,-0.07499999999999996,0,-1.075,1.075,0.0,2.0
unit_coupling_capture_window,1.0,-1.07,-0.07000000000000006,0,-1.07,1.07,0.0,2.0
unit_coupling_capture_window,1.0,-1.065,-0.06499999999999995,0,-1.065,1.065,0.0,2.0
unit_coupling_capture_window,1.0,-1.06,-0.06000000000000005,0,-1.06,1.06,0.0,2.0
unit_coupling_capture_window,1.0,-1.055,-0.05499999999999994,0,-1.055,1.055,0.0,2.0
